geneID,transcriptID,protID
ENSG00000004059,ENST00000000233,sp|P84085|ARF5_HUMAN
ENSG00000003056,ENST00000000412,sp|P20645|MPRD_HUMAN
ENSG00000173153,ENST00000000442,sp|P11474|ERR1_HUMAN
ENSG00000004478,ENST00000001008,sp|Q02790|FKBP4_HUMAN
ENSG00000003137,ENST00000001146,sp|Q9NR63|CP26B_HUMAN
ENSG00000003509,ENST00000002125,sp|Q7L592|NDUF7_HUMAN
ENSG00000001036,ENST00000002165,sp|Q9BTY2|FUCO2_HUMAN
ENSG00000003249,ENST00000002501,sp|Q9H9R9|DBND1_HUMAN
ENSG00000002587,ENST00000002596,sp|O14792|HS3S1_HUMAN
ENSG00000001626,ENST00000003084,sp|P13569|CFTR_HUMAN
ENSG00000048028,ENST00000003302,sp|Q96RU2|UBP28_HUMAN
ENSG00000004776,ENST00000004982,sp|O14558|HSPB6_HUMAN
ENSG00000004799,ENST00000005178,sp|Q16654|PDK4_HUMAN
ENSG00000006606,ENST00000005180,sp|Q9Y258|CCL26_HUMAN
ENSG00000006451,ENST00000005257,sp|P11233|RALA_HUMAN
ENSG00000075790,ENST00000005259,sp|Q9UHQ4|BAP29_HUMAN
ENSG00000006453,ENST00000005260,sp|Q9UHR4|BI2L1_HUMAN
ENSG00000006116,ENST00000005284,sp|O60359|CCG3_HUMAN
ENSG00000004975,ENST00000005340,sp|O14641|DVL2_HUMAN
ENSG00000005175,ENST00000005386,sp|Q9H6T3|RPAP3_HUMAN
ENSG00000006652,ENST00000005558,sp|O00458|IFRD1_HUMAN
ENSG00000005020,ENST00000345317,sp|O75563|SKAP2_HUMAN
ENSG00000007001,ENST00000005756,sp|O95045|UPP2_HUMAN
ENSG00000007038,ENST00000005995,sp|Q9Y6M0|TEST_HUMAN
ENSG00000005073,ENST00000006015,sp|P31270|HXA11_HUMAN
ENSG00000006210,ENST00000006053,sp|P78423|X3CL1_HUMAN
ENSG00000005448,ENST00000348227,sp|Q9H977|WDR54_HUMAN
ENSG00000006282,ENST00000006658,sp|Q8TB22|SPT20_HUMAN
ENSG00000007306,ENST00000006724,sp|Q14002|CEAM7_HUMAN
ENSG00000007312,ENST00000006750,sp|P40259|CD79B_HUMAN
ENSG00000005486,ENST00000006777,sp|Q6NTF9|RHBD2_HUMAN
ENSG00000007520,ENST00000007390,sp|Q9UJK0|TSR3_HUMAN
ENSG00000006025,ENST00000007414,sp|Q9BZF2|OSBL7_HUMAN
ENSG00000004779,ENST00000007516,sp|O14561|ACPM_HUMAN
ENSG00000006047,ENST00000007699,sp|Q9Y2T7|YBOX2_HUMAN
ENSG00000006059,ENST00000007735,sp|O76009|KT33A_HUMAN
ENSG00000010626,ENST00000007969,sp|Q53EV4|LRC23_HUMAN
ENSG00000008197,ENST00000008391,sp|Q7Z6R9|AP2D_HUMAN
ENSG00000008405,ENST00000008527,sp|Q16526|CRY1_HUMAN
ENSG00000008438,ENST00000008938,sp|O75594|PGRP1_HUMAN
ENSG00000010270,ENST00000009041,sp|O95772|STR3N_HUMAN
ENSG00000008118,ENST00000009105,sp|Q96NX5|KCC1G_HUMAN
ENSG00000019582,ENST00000009530,sp|P04233|HG2A_HUMAN
ENSG00000008988,ENST00000009589,sp|P60866|RS20_HUMAN
ENSG00000091704,ENST00000011292,sp|P15085|CBPA1_HUMAN
ENSG00000008282,ENST00000011473,sp|Q16563|SYPL1_HUMAN
ENSG00000010017,ENST00000011619,sp|Q96S59|RANB9_HUMAN
