ids	VEPfile
ENSG00000122584	vep_PanCan_chr_7_100001-200000
-	vep_PanCan_chr_7_100001-200000
ENSG00000236748	vep_PanCan_chr_7_100001-200000
ENSG00000271526	vep_PanCan_chr_7_100001-200000
ENSG00000264766	vep_PanCan_chr_7_100001-200000
ENSG00000233876	vep_PanCan_chr_7_100001-200000
ENSG00000271077	vep_PanCan_chr_7_100001-200000
ENSG00000197320	vep_PanCan_chr_7_100001-200000
ENSG00000234710	vep_PanCan_chr_7_100001-200000
ENSG00000270611	vep_PanCan_chr_7_100001-200000
ENSG00000235431	vep_PanCan_chr_7_100001-200000
ENSG00000212422	vep_PanCan_chr_7_100001-200000
ENSG00000229091	vep_PanCan_chr_7_100001-200000
ENSG00000234356	vep_PanCan_chr_7_100001-200000
ENSG00000236414	vep_PanCan_chr_7_100001-200000
ENSG00000201774	vep_PanCan_chr_7_100001-200000
ENSG00000189043	vep_PanCan_chr_7_100001-200000
ENSG00000271185	vep_PanCan_chr_7_100001-200000
ENSG00000106443	vep_PanCan_chr_7_100001-200000
ENSG00000230370	vep_PanCan_chr_7_100001-200000
ENSG00000230333	vep_PanCan_chr_7_100001-200000
ENSG00000226827	vep_PanCan_chr_7_100001-200000
ENSG00000005108	vep_PanCan_chr_7_100001-200000
ENSG00000230435	vep_PanCan_chr_7_100001-200000
ENSG00000235920	vep_PanCan_chr_7_100001-200000
ENSG00000106460	vep_PanCan_chr_7_100001-200000
ENSG00000146530	vep_PanCan_chr_7_100001-200000
ENSG00000236048	vep_PanCan_chr_7_100001-200000
ENSG00000203523	vep_PanCan_chr_7_100001-200000
ENSG00000226690	vep_PanCan_chr_7_100001-200000
ENSG00000224667	vep_PanCan_chr_7_100001-200000
ENSG00000225606	vep_PanCan_chr_7_100001-200000
ENSG00000006747	vep_PanCan_chr_7_100001-200000
ENSG00000229233	vep_PanCan_chr_7_100001-200000
ENSG00000271253	vep_PanCan_chr_7_100001-200000
ENSG00000122644	vep_PanCan_chr_7_100001-200000
ENSG00000199470	vep_PanCan_chr_7_100001-200000
ENSG00000222974	vep_PanCan_chr_7_100001-200000
ENSG00000230879	vep_PanCan_chr_7_100001-200000
ENSG00000229618	vep_PanCan_chr_7_100001-200000
ENSG00000237713	vep_PanCan_chr_7_100001-200000
ENSG00000224330	vep_PanCan_chr_7_100001-200000
ENSG00000213875	vep_PanCan_chr_7_100001-200000
ENSG00000006468	vep_PanCan_chr_7_100001-200000
